direction,advance_deg,repeat,baseline_duty,pulse_duty,baseline_advance_deg,baseline_ms,pulse_ms,sample_hz,sample_count,missed_count,mct_fault_delta,faults,baseline_rpm,start_rpm,rpm_50ms,rpm_100ms,rpm_150ms,gain_0_50_rpm,gain_0_90_rpm,accel_0_50_rpm_s,accel_0_80_rpm_s,accel_20_120_rpm_s,accel_40_160_rpm_s,ripple_120_220,monotonic_fraction,valid,note
1,30,0,100,200,90,1000,160,1000,160,0,0,0,2539.6815286624205,1638.4545454545455,808.0,18.0,54.0,-901.6926406926407,-1406.5021645021645,-25105.882352941175,-19995.03161698284,-11215.352358765287,-5449.638863809991,0.7359001346081002,0.779874213836478,False,angle_not_monotonic
1,30,1,100,200,90,1000,160,1000,160,0,0,0,2131.3375796178343,1623.6363636363637,4.0,10.0,43.0,-1477.4935064935066,-1603.82683982684,-37558.5520361991,-18763.821138211388,-2070.4601048340123,44.33988471421627,0.7624474271032949,0.6226415094339622,False,angle_not_monotonic
1,30,2,100,200,90,1000,160,1000,160,0,0,0,2531.4649681528663,1746.909090909091,28.0,1.0,5.0,-1474.2900432900433,-1722.1471861471862,-38361.35746606334,-22758.288166215003,-5380.11648223646,-908.5978192930074,0.7123971115190448,0.6855345911949685,False,angle_not_monotonic
1,50,0,100,200,90,1000,160,1000,160,0,0,0,1564.6815286624203,2187.909090909091,2870.0,2893.0,2693.0,465.1861471861471,631.1385281385283,13234.751131221714,10321.20596205962,2864.9621432731524,557.5387179665252,0.13140356003558382,1.0,True,
1,50,1,100,200,90,1000,160,1000,160,0,0,0,1522.5477707006369,2469.181818181818,2764.0,2643.0,2962.0,30.246753246753542,134.81818181818198,1575.384615384615,2397.719060523938,551.7530576587066,43.74956594207937,0.1335256982771594,1.0,True,
1,50,2,100,200,90,1000,160,1000,160,0,0,0,2720.923566878981,2581.4545454545455,2195.0,2551.0,2804.0,8.688311688311842,1.354978354978357,-927.9638009049764,186.35953026196907,-22.655794991263754,-174.21001458434628,0.14619006739158832,1.0,True,
1,70,0,100,200,90,1000,160,1000,160,0,0,0,1369.5859872611466,2845.090909090909,3799.0,3457.0,4137.0,1117.6709956709956,1295.0043290043295,26790.407239819,15951.716350496836,4091.0308677926614,1951.986249045073,0.08272089474810769,1.0,True,
1,70,1,100,200,90,1000,160,1000,160,0,0,0,1826.4649681528663,2981.5454545454545,4011.0,4799.0,4211.0,1078.9307359307359,1176.2640692640693,27099.185520361993,15072.312556458892,2204.6476412347115,-179.88401972359205,0.08616683158278121,1.0,True,
1,70,2,100,200,90,1000,160,1000,160,0,0,0,1910.7324840764331,2841.0,4360.0,4542.0,4039.0,1255.2380952380954,1281.5238095238092,30143.98190045249,14351.761517615168,2601.630751310423,732.3182165428158,0.07195095245511307,1.0,True,
1,90,0,100,200,90,1000,160,1000,160,0,0,0,2010.4777070063694,3373.181818181818,5020.0,4987.0,5904.0,1726.2943722943728,1944.6277056277058,43513.84615384616,23771.183378500442,4185.730926033781,828.7485242030698,0.06684048481189575,1.0,True,
1,90,1,100,200,90,1000,160,1000,160,0,0,0,2090.1592356687897,3447.090909090909,5340.0,5964.0,5305.0,1907.6233766233763,2114.4805194805194,47206.06334841629,26469.67028003612,3635.224228305181,-1575.3073130078492,0.06161733294284517,1.0,True,
1,90,2,100,200,90,1000,160,1000,160,0,0,0,2818.9490445859874,3039.0,4957.0,5473.0,4985.0,2247.0,2499.142857142857,54922.35294117648,30317.502258355915,4939.930110658126,929.3353705118418,0.06385415394312814,1.0,True,
1,110,0,100,200,90,1000,160,1000,160,0,0,0,2620.2229299363057,3616.3636363636365,6149.0,6603.0,6173.0,2580.7792207792204,2865.7792207792204,64799.27601809957,37617.50225835591,5606.627839254514,-1370.3069657615115,0.0687808772965378,1.0,True,
1,110,1,100,200,90,1000,160,1000,160,0,0,0,1921.71974522293,3390.0,6554.0,6373.0,6012.0,2610.0476190476193,2814.7619047619046,64265.79185520362,33934.688346883464,5730.564938846823,754.465587888048,0.06053482594815149,1.0,True,
1,110,2,100,200,90,1000,160,1000,160,0,0,0,2284.203821656051,3505.2727272727275,6111.0,6288.0,6518.0,2557.2034632034633,2774.5367965367964,64630.49773755657,35136.946702800364,6542.7489807804295,1581.460518091536,0.06512396264552568,1.0,True,
1,130,0,100,200,90,1000,160,1000,160,0,0,0,2059.9681528662422,3678.2727272727275,6304.0,6816.0,7032.0,2998.3939393939395,3093.3939393939395,74706.15384615386,38771.16079494129,4835.829935934772,-1075.9531911938334,0.07276781601008704,1.0,True,
1,130,1,100,200,90,1000,160,1000,160,0,0,0,1804.4904458598726,3672.7272727272725,6705.0,6929.0,6357.0,2788.844155844156,2917.7489177489183,67500.90497737553,36235.9756097561,4269.889341875363,-895.8226265712902,0.06640630510194077,1.0,True,
1,130,2,100,200,90,1000,160,1000,160,0,0,0,1849.3949044585988,3712.090909090909,6661.0,6956.0,6741.0,2962.4329004329,3175.766233766234,76402.2624434389,40563.43721770552,5496.8899242865455,-1119.136745607334,0.06698843472433284,1.0,True,
1,150,0,100,200,90,1000,160,1000,160,0,0,0,2655.0,3725.090909090909,6394.0,6703.0,6887.0,2999.051948051948,2997.2900432900433,76073.1221719457,38292.02800361337,2674.1758881770547,-1280.9188138065151,0.042376797761461485,1.0,True,
1,150,1,100,200,90,1000,160,1000,160,0,0,0,2718.248407643312,3637.818181818182,6338.0,6584.0,6479.0,2927.8008658008657,2981.7532467532465,73105.06787330317,36942.90876242096,3555.03785672685,-568.973539829155,0.07019654158259074,1.0,True,
1,150,2,100,200,90,1000,160,1000,160,0,0,0,1834.6815286624203,3389.5454545454545,6920.0,6528.0,5894.0,3244.168831168831,3464.883116883117,81200.72398190045,43512.353206865395,6182.0617355853165,236.8011667476905,0.056655725887207596,1.0,True,
-1,30,0,100,200,90,1000,160,1000,160,0,0,0,2083.7579617834394,3628.7272727272725,6460.0,6464.0,5935.0,2954.701298701299,3086.9393939393944,74054.93212669682,38091.102077687436,4748.759464181715,-93.53427321341755,0.06969958024702634,1.0,True,
-1,30,1,100,200,90,1000,160,1000,160,0,0,0,2156.082802547771,3491.818181818182,6386.0,6765.0,7109.0,3004.8961038961033,3164.2770562770565,75059.00452488688,38734.6657633243,4907.384973791497,913.6294187096336,0.041971707293244294,1.0,True,
-1,30,2,100,200,90,1000,160,1000,160,0,0,0,2459.140127388535,3277.7272727272725,6521.0,6815.0,6966.0,3232.367965367966,3413.177489177489,80202.35294117649,42210.02710027099,5322.772277227723,200.66324050281273,0.03893173617495831,1.0,True,
-1,50,0,100,200,90,1000,160,1000,160,0,0,0,1918.9490445859872,3491.7272727272725,6242.0,7398.0,7164.0,2908.367965367966,3264.1298701298706,73175.11312217197,40721.81571815718,5824.274898078042,-553.1321619556918,0.056069651234198166,1.0,True,
-1,50,1,100,200,90,1000,160,1000,160,0,0,0,2049.8407643312103,3334.5454545454545,6435.0,6854.0,6905.0,3147.692640692641,3267.7878787878785,77604.07239819002,39664.65672990064,5779.382644146769,351.458434613515,0.05231618760051915,1.0,True,
-1,50,2,100,200,90,1000,160,1000,160,0,0,0,3094.4904458598726,3609.6363636363635,6753.0,6883.0,6051.0,3027.077922077922,3193.8398268398273,76506.33484162894,41085.47877145438,5905.171811298775,80.02986318494354,0.055738994994286244,1.0,True,
-1,70,0,100,200,90,1000,160,1000,160,0,0,0,2732.8662420382166,3567.818181818182,5846.0,6639.0,5687.0,2585.9437229437226,2760.324675324675,63013.393665158364,33351.96476964769,5607.944088526501,456.3372456420585,0.055265657043440906,1.0,True,
-1,70,1,100,200,90,1000,160,1000,160,0,0,0,2088.3439490445858,3256.909090909091,6359.0,6168.0,6560.0,2950.7099567099567,3149.614718614718,73309.50226244344,38570.52845528455,6880.838672102504,2125.2274463504427,0.05220457090761893,1.0,True,
-1,70,2,100,200,90,1000,160,1000,160,0,0,0,3045.0,3300.4545454545455,6470.0,6009.0,6080.0,2749.0216450216453,2961.25974025974,68397.82805429862,35872.8997289973,5061.619103086778,975.9045767067164,0.06408838524345788,1.0,True,
-1,90,0,100,200,90,1000,160,1000,160,0,0,0,1937.2929936305732,3426.2727272727275,5614.0,6045.0,5842.0,1970.3463203463202,2289.2034632034633,48612.398190045235,27741.553748870818,9697.845078625507,3358.19501354261,0.05328641682569325,1.0,True,
-1,90,1,100,200,90,1000,160,1000,160,0,0,0,2890.3184713375795,3386.181818181818,5845.0,5920.0,5955.0,1872.1038961038967,2082.818181818182,46573.75565610858,25377.168021680223,4472.8712871287125,1348.4512813389824,0.05545274129267583,1.0,True,
-1,90,2,100,200,90,1000,160,1000,160,0,0,0,2312.579617834395,3170.090909090909,5377.0,5245.0,5409.0,2245.4805194805194,2384.718614718615,56301.26696832579,29562.850045167117,3876.4472917880034,314.86214320438927,0.06112520062380329,1.0,True,
-1,110,0,100,200,90,1000,160,1000,160,0,0,0,2833.566878980892,2960.4545454545455,4149.0,3722.0,4151.0,1186.307359307359,1268.5454545454545,29455.475113122164,15143.08943089431,1899.1613278974949,496.2393221751511,0.09555289961137664,1.0,True,
-1,110,1,100,200,90,1000,160,1000,160,0,0,0,2656.815286624204,2920.7272727272725,4667.0,3986.0,4033.0,1209.4632034632036,1311.5584415584422,29869.14027149321,15619.82836495031,3257.6703552708195,839.7944301687623,0.0793371790484254,1.0,True,
-1,110,2,100,200,90,1000,160,1000,160,0,0,0,2159.7133757961783,2898.090909090909,3824.0,3913.0,3545.0,1137.5757575757575,1195.0519480519483,27438.91402714932,14144.94128274616,2739.417588817704,1309.4555177442876,0.08897154243047313,1.0,True,
-1,130,0,100,200,90,1000,160,1000,160,0,0,0,2265.0,2636.090909090909,2639.0,2991.0,2524.0,-11.852813852813597,17.432900432900624,1430.6787330316727,1774.706413730803,1440.8852649970872,161.04243350232645,0.16084581753506605,1.0,True,
-1,130,1,100,200,90,1000,160,1000,160,0,0,0,2337.3248407643314,2552.6363636363635,2567.0,2447.0,2516.0,154.45887445887456,181.93506493506493,3469.4117647058824,2434.9141824751578,675.4921374490393,56.01083408570048,0.14732162648741726,1.0,True,
-1,130,2,100,200,90,1000,160,1000,160,0,0,0,1892.3885350318471,2487.0,3409.0,2299.0,3502.0,295.2857142857142,250.28571428571422,6199.004524886877,2710.7723577235774,-43.6691904484567,-629.0575734426006,0.1619733466072384,1.0,True,
-1,150,0,100,200,90,1000,160,1000,160,0,0,0,2627.579617834395,1931.0,54.0,8.0,50.0,-1606.2857142857142,-1902.1904761904761,-44282.71493212669,-26269.173441734412,-6886.44146767618,-501.8855476074727,0.6160662305908255,0.6289308176100629,False,angle_not_monotonic
-1,150,1,100,200,90,1000,160,1000,160,0,0,0,1799.904458598726,1898.909090909091,58.0,1.0,14.0,-1710.95670995671,-1879.5757575757577,-46939.547511312216,-25370.30261969286,-5212.405358182876,18.85894853809295,0.7176759294870081,0.610062893081761,False,angle_not_monotonic
-1,150,2,100,200,90,1000,160,1000,160,0,0,0,2416.0509554140126,1861.1818181818182,1170.0,963.0,1168.0,-743.1341991341992,-1003.1341991341992,-13455.837104072401,-4402.145438121046,4450.506697728597,-1630.8875616362259,0.29865211241403716,1.0,True,
